Mod:Item:MetaData, Localized Name
gregtech:gt.blockmachines:281, gt.blockmachines.basicmachine.extruder.tier.01.name
gregtech:gt.blockmachines:282, gt.blockmachines.basicmachine.extruder.tier.02.name
gregtech:gt.blockmachines:283, gt.blockmachines.basicmachine.extruder.tier.03.name
gregtech:gt.blockmachines:284, gt.blockmachines.basicmachine.extruder.tier.04.name
gregtech:gt.blockmachines:285, gt.blockmachines.basicmachine.extruder.tier.05.name
gregtech:gt.blockmachines:286, gt.blockmachines.basicmachine.extruder.tier.06.name
gregtech:gt.blockmachines:287, gt.blockmachines.basicmachine.extruder.tier.07.name
gregtech:gt.blockmachines:288, gt.blockmachines.basicmachine.extruder.tier.08.name
gregtech:gt.blockmachines:291, gt.blockmachines.basicmachine.lathe.tier.01.name
gregtech:gt.blockmachines:292, gt.blockmachines.basicmachine.lathe.tier.02.name
gregtech:gt.blockmachines:293, gt.blockmachines.basicmachine.lathe.tier.03.name
gregtech:gt.blockmachines:294, gt.blockmachines.basicmachine.lathe.tier.04.name
gregtech:gt.blockmachines:295, gt.blockmachines.basicmachine.lathe.tier.05.name
gregtech:gt.blockmachines:296, gt.blockmachines.basicmachine.lathe.tier.06.name
gregtech:gt.blockmachines:297, gt.blockmachines.basicmachine.lathe.tier.07.name
gregtech:gt.blockmachines:298, gt.blockmachines.basicmachine.lathe.tier.08.name
gregtech:gt.blockmachines:301, gt.blockmachines.basicmachine.macerator.tier.01.name
gregtech:gt.blockmachines:302, gt.blockmachines.basicmachine.macerator.tier.02.name
gregtech:gt.blockmachines:303, gt.blockmachines.basicmachine.macerator.tier.03.name
gregtech:gt.blockmachines:304, gt.blockmachines.basicmachine.macerator.tier.04.name
gregtech:gt.blockmachines:305, gt.blockmachines.basicmachine.macerator.tier.05.name
gregtech:gt.blockmachines:306, gt.blockmachines.basicmachine.macerator.tier.06.name
gregtech:gt.blockmachines:307, gt.blockmachines.basicmachine.macerator.tier.07.name
gregtech:gt.blockmachines:308, gt.blockmachines.basicmachine.macerator.tier.08.name
gregtech:gt.blockmachines:311, gt.blockmachines.basicmachine.microwave.tier.01.name
gregtech:gt.blockmachines:312, gt.blockmachines.basicmachine.microwave.tier.02.name
gregtech:gt.blockmachines:313, gt.blockmachines.basicmachine.microwave.tier.03.name
gregtech:gt.blockmachines:314, gt.blockmachines.basicmachine.microwave.tier.04.name
gregtech:gt.blockmachines:315, gt.blockmachines.basicmachine.microwave.tier.05.name
gregtech:gt.blockmachines:316, gt.blockmachines.basicmachine.microwave.tier.06.name
gregtech:gt.blockmachines:317, gt.blockmachines.basicmachine.microwave.tier.07.name
gregtech:gt.blockmachines:318, gt.blockmachines.basicmachine.microwave.tier.08.name
gregtech:gt.blockmachines:321, gt.blockmachines.basicmachine.printer.tier.01.name
gregtech:gt.blockmachines:322, gt.blockmachines.basicmachine.printer.tier.02.name
gregtech:gt.blockmachines:323, gt.blockmachines.basicmachine.printer.tier.03.name
gregtech:gt.blockmachines:324, gt.blockmachines.basicmachine.printer.tier.04.name
gregtech:gt.blockmachines:325, gt.blockmachines.basicmachine.printer.tier.05.name
gregtech:gt.blockmachines:326, gt.blockmachines.basicmachine.printer.tier.06.name
gregtech:gt.blockmachines:327, gt.blockmachines.basicmachine.printer.tier.07.name
gregtech:gt.blockmachines:328, gt.blockmachines.basicmachine.printer.tier.08.name
gregtech:gt.blockmachines:331, gt.blockmachines.basicmachine.recycler.tier.01.name
gregtech:gt.blockmachines:332, gt.blockmachines.basicmachine.recycler.tier.02.name
gregtech:gt.blockmachines:333, gt.blockmachines.basicmachine.recycler.tier.03.name
gregtech:gt.blockmachines:334, gt.blockmachines.basicmachine.recycler.tier.04.name
gregtech:gt.blockmachines:335, gt.blockmachines.basicmachine.recycler.tier.05.name
gregtech:gt.blockmachines:336, gt.blockmachines.basicmachine.recycler.tier.06.name
gregtech:gt.blockmachines:337, gt.blockmachines.basicmachine.recycler.tier.07.name
gregtech:gt.blockmachines:338, gt.blockmachines.basicmachine.recycler.tier.08.name
gregtech:gt.blockmachines:341, gt.blockmachines.basicmachine.scanner.tier.01.name
gregtech:gt.blockmachines:342, gt.blockmachines.basicmachine.scanner.tier.02.name
gregtech:gt.blockmachines:343, gt.blockmachines.basicmachine.scanner.tier.03.name
gregtech:gt.blockmachines:344, gt.blockmachines.basicmachine.scanner.tier.04.name
gregtech:gt.blockmachines:345, gt.blockmachines.basicmachine.scanner.tier.05.name
gregtech:gt.blockmachines:346, gt.blockmachines.basicmachine.scanner.tier.06.name
gregtech:gt.blockmachines:347, gt.blockmachines.basicmachine.scanner.tier.07.name
gregtech:gt.blockmachines:348, gt.blockmachines.basicmachine.scanner.tier.08.name
gregtech:gt.blockmachines:351, gt.blockmachines.basicmachine.wiremill.tier.01.name
gregtech:gt.blockmachines:352, gt.blockmachines.basicmachine.wiremill.tier.02.name
gregtech:gt.blockmachines:353, gt.blockmachines.basicmachine.wiremill.tier.03.name
gregtech:gt.blockmachines:354, gt.blockmachines.basicmachine.wiremill.tier.04.name
gregtech:gt.blockmachines:355, gt.blockmachines.basicmachine.wiremill.tier.05.name
gregtech:gt.blockmachines:356, gt.blockmachines.basicmachine.wiremill.tier.06.name
gregtech:gt.blockmachines:357, gt.blockmachines.basicmachine.wiremill.tier.07.name
gregtech:gt.blockmachines:358, gt.blockmachines.basicmachine.wiremill.tier.08.name
gregtech:gt.blockmachines:361, gt.blockmachines.basicmachine.centrifuge.tier.01.name
gregtech:gt.blockmachines:362, gt.blockmachines.basicmachine.centrifuge.tier.02.name
gregtech:gt.blockmachines:363, gt.blockmachines.basicmachine.centrifuge.tier.03.name
gregtech:gt.blockmachines:364, gt.blockmachines.basicmachine.centrifuge.tier.04.name
gregtech:gt.blockmachines:365, gt.blockmachines.basicmachine.centrifuge.tier.05.name
gregtech:gt.blockmachines:366, gt.blockmachines.basicmachine.centrifuge.tier.06.name
gregtech:gt.blockmachines:367, gt.blockmachines.basicmachine.centrifuge.tier.07.name
gregtech:gt.blockmachines:368, gt.blockmachines.basicmachine.centrifuge.tier.08.name
gregtech:gt.blockmachines:371, gt.blockmachines.basicmachine.electrolyzer.tier.01.name
gregtech:gt.blockmachines:372, gt.blockmachines.basicmachine.electrolyzer.tier.02.name
gregtech:gt.blockmachines:373, gt.blockmachines.basicmachine.electrolyzer.tier.03.name
gregtech:gt.blockmachines:374, gt.blockmachines.basicmachine.electrolyzer.tier.04.name
gregtech:gt.blockmachines:375, gt.blockmachines.basicmachine.electrolyzer.tier.05.name
gregtech:gt.blockmachines:376, gt.blockmachines.basicmachine.electrolyzer.tier.06.name
gregtech:gt.blockmachines:377, gt.blockmachines.basicmachine.electrolyzer.tier.07.name
gregtech:gt.blockmachines:378, gt.blockmachines.basicmachine.electrolyzer.tier.08.name
gregtech:gt.blockmachines:381, gt.blockmachines.basicmachine.thermalcentrifuge.tier.01.name
gregtech:gt.blockmachines:382, gt.blockmachines.basicmachine.thermalcentrifuge.tier.02.name
gregtech:gt.blockmachines:383, gt.blockmachines.basicmachine.thermalcentrifuge.tier.03.name
gregtech:gt.blockmachines:384, gt.blockmachines.basicmachine.thermalcentrifuge.tier.04.name
gregtech:gt.blockmachines:385, gt.blockmachines.basicmachine.thermalcentrifuge.tier.05.name
gregtech:gt.blockmachines:386, gt.blockmachines.basicmachine.thermalcentrifuge.tier.06.name
gregtech:gt.blockmachines:387, gt.blockmachines.basicmachine.thermalcentrifuge.tier.07.name
gregtech:gt.blockmachines:388, gt.blockmachines.basicmachine.thermalcentrifuge.tier.08.name
gregtech:gt.blockmachines:391, gt.blockmachines.basicmachine.orewasher.tier.01.name
gregtech:gt.blockmachines:392, gt.blockmachines.basicmachine.orewasher.tier.02.name
gregtech:gt.blockmachines:393, gt.blockmachines.basicmachine.orewasher.tier.03.name
gregtech:gt.blockmachines:394, gt.blockmachines.basicmachine.orewasher.tier.04.name
gregtech:gt.blockmachines:395, gt.blockmachines.basicmachine.orewasher.tier.05.name
gregtech:gt.blockmachines:396, gt.blockmachines.basicmachine.orewasher.tier.06.name
gregtech:gt.blockmachines:397, gt.blockmachines.basicmachine.orewasher.tier.07.name
gregtech:gt.blockmachines:398, gt.blockmachines.basicmachine.orewasher.tier.08.name
gregtech:gt.blockmachines:401, gt.blockmachines.basicmachine.boxinator.tier.01.name
gregtech:gt.blockmachines:402, gt.blockmachines.basicmachine.boxinator.tier.02.name
gregtech:gt.blockmachines:403, gt.blockmachines.basicmachine.boxinator.tier.03.name
gregtech:gt.blockmachines:404, gt.blockmachines.basicmachine.boxinator.tier.04.name
gregtech:gt.blockmachines:405, gt.blockmachines.basicmachine.boxinator.tier.05.name
gregtech:gt.blockmachines:406, gt.blockmachines.basicmachine.boxinator.tier.06.name
gregtech:gt.blockmachines:407, gt.blockmachines.basicmachine.boxinator.tier.07.name
gregtech:gt.blockmachines:408, gt.blockmachines.basicmachine.boxinator.tier.08.name
gregtech:gt.blockmachines:411, gt.blockmachines.basicmachine.unboxinator.tier.01.name
gregtech:gt.blockmachines:412, gt.blockmachines.basicmachine.unboxinator.tier.02.name
gregtech:gt.blockmachines:413, gt.blockmachines.basicmachine.unboxinator.tier.03.name
gregtech:gt.blockmachines:414, gt.blockmachines.basicmachine.unboxinator.tier.04.name
gregtech:gt.blockmachines:415, gt.blockmachines.basicmachine.unboxinator.tier.05.name
gregtech:gt.blockmachines:416, gt.blockmachines.basicmachine.unboxinator.tier.06.name
gregtech:gt.blockmachines:417, gt.blockmachines.basicmachine.unboxinator.tier.07.name
gregtech:gt.blockmachines:418, gt.blockmachines.basicmachine.unboxinator.tier.08.name
gregtech:gt.blockmachines:421, gt.blockmachines.basicmachine.chemicalreactor.tier.01.name
gregtech:gt.blockmachines:422, gt.blockmachines.basicmachine.chemicalreactor.tier.02.name
gregtech:gt.blockmachines:423, gt.blockmachines.basicmachine.chemicalreactor.tier.03.name
gregtech:gt.blockmachines:424, gt.blockmachines.basicmachine.chemicalreactor.tier.04.name
gregtech:gt.blockmachines:425, gt.blockmachines.basicmachine.chemicalreactor.tier.05.name
gregtech:gt.blockmachines:426, gt.blockmachines.basicmachine.chemicalreactor.tier.06.name
gregtech:gt.blockmachines:427, gt.blockmachines.basicmachine.chemicalreactor.tier.07.name
gregtech:gt.blockmachines:428, gt.blockmachines.basicmachine.chemicalreactor.tier.08.name
gregtech:gt.blockmachines:431, gt.blockmachines.basicmachine.fluidcanner.tier.01.name
gregtech:gt.blockmachines:432, gt.blockmachines.basicmachine.fluidcanner.tier.02.name
gregtech:gt.blockmachines:433, gt.blockmachines.basicmachine.fluidcanner.tier.03.name
gregtech:gt.blockmachines:434, gt.blockmachines.basicmachine.fluidcanner.tier.04.name
gregtech:gt.blockmachines:435, gt.blockmachines.basicmachine.fluidcanner.tier.05.name
gregtech:gt.blockmachines:436, gt.blockmachines.basicmachine.fluidcanner.tier.06.name
gregtech:gt.blockmachines:437, gt.blockmachines.basicmachine.fluidcanner.tier.07.name
gregtech:gt.blockmachines:438, gt.blockmachines.basicmachine.fluidcanner.tier.08.name
gregtech:gt.blockmachines:441, gt.blockmachines.basicmachine.rockbreaker.tier.01.name
gregtech:gt.blockmachines:442, gt.blockmachines.basicmachine.rockbreaker.tier.02.name
gregtech:gt.blockmachines:443, gt.blockmachines.basicmachine.rockbreaker.tier.03.name
gregtech:gt.blockmachines:444, gt.blockmachines.basicmachine.rockbreaker.tier.04.name
gregtech:gt.blockmachines:445, gt.blockmachines.basicmachine.rockbreaker.tier.05.name
gregtech:gt.blockmachines:446, gt.blockmachines.basicmachine.rockbreaker.tier.06.name
gregtech:gt.blockmachines:447, gt.blockmachines.basicmachine.rockbreaker.tier.07.name
gregtech:gt.blockmachines:448, gt.blockmachines.basicmachine.rockbreaker.tier.08.name
gregtech:gt.blockmachines:451, gt.blockmachines.basicmachine.disassembler.tier.01.name
gregtech:gt.blockmachines:452, gt.blockmachines.basicmachine.disassembler.tier.02.name
gregtech:gt.blockmachines:453, gt.blockmachines.basicmachine.disassembler.tier.03.name
gregtech:gt.blockmachines:454, gt.blockmachines.basicmachine.disassembler.tier.04.name
gregtech:gt.blockmachines:455, gt.blockmachines.basicmachine.disassembler.tier.05.name
gregtech:gt.blockmachines:456, gt.blockmachines.basicmachine.disassembler.tier.06.name
gregtech:gt.blockmachines:457, gt.blockmachines.basicmachine.disassembler.tier.07.name
gregtech:gt.blockmachines:458, gt.blockmachines.basicmachine.disassembler.tier.08.name
gregtech:gt.blockmachines:461, gt.blockmachines.basicmachine.massfab.tier.01.name
gregtech:gt.blockmachines:462, gt.blockmachines.basicmachine.massfab.tier.02.name
gregtech:gt.blockmachines:463, gt.blockmachines.basicmachine.massfab.tier.03.name
gregtech:gt.blockmachines:464, gt.blockmachines.basicmachine.massfab.tier.04.name
gregtech:gt.blockmachines:465, gt.blockmachines.basicmachine.massfab.tier.05.name
gregtech:gt.blockmachines:466, gt.blockmachines.basicmachine.massfab.tier.06.name
gregtech:gt.blockmachines:467, gt.blockmachines.basicmachine.massfab.tier.07.name
gregtech:gt.blockmachines:468, gt.blockmachines.basicmachine.massfab.tier.08.name
gregtech:gt.blockmachines:471, gt.blockmachines.basicmachine.amplifab.tier.01.name
gregtech:gt.blockmachines:472, gt.blockmachines.basicmachine.amplifab.tier.02.name
gregtech:gt.blockmachines:473, gt.blockmachines.basicmachine.amplifab.tier.03.name
gregtech:gt.blockmachines:474, gt.blockmachines.basicmachine.amplifab.tier.04.name
gregtech:gt.blockmachines:475, gt.blockmachines.basicmachine.amplifab.tier.05.name
gregtech:gt.blockmachines:476, gt.blockmachines.basicmachine.amplifab.tier.06.name
gregtech:gt.blockmachines:477, gt.blockmachines.basicmachine.amplifab.tier.07.name
gregtech:gt.blockmachines:478, gt.blockmachines.basicmachine.amplifab.tier.08.name
gregtech:gt.blockmachines:481, gt.blockmachines.basicmachine.replicator.tier.01.name
gregtech:gt.blockmachines:482, gt.blockmachines.basicmachine.replicator.tier.02.name
gregtech:gt.blockmachines:483, gt.blockmachines.basicmachine.replicator.tier.03.name
gregtech:gt.blockmachines:484, gt.blockmachines.basicmachine.replicator.tier.04.name
gregtech:gt.blockmachines:485, gt.blockmachines.basicmachine.replicator.tier.05.name
gregtech:gt.blockmachines:486, gt.blockmachines.basicmachine.replicator.tier.06.name
gregtech:gt.blockmachines:487, gt.blockmachines.basicmachine.replicator.tier.07.name
gregtech:gt.blockmachines:488, gt.blockmachines.basicmachine.replicator.tier.08.name
gregtech:gt.blockmachines:491, gt.blockmachines.basicmachine.brewery.tier.01.name
gregtech:gt.blockmachines:492, gt.blockmachines.basicmachine.brewery.tier.02.name
gregtech:gt.blockmachines:493, gt.blockmachines.basicmachine.brewery.tier.03.name
gregtech:gt.blockmachines:494, gt.blockmachines.basicmachine.brewery.tier.04.name
gregtech:gt.blockmachines:495, gt.blockmachines.basicmachine.brewery.tier.05.name
gregtech:gt.blockmachines:496, gt.blockmachines.basicmachine.brewery.tier.06.name
gregtech:gt.blockmachines:497, gt.blockmachines.basicmachine.brewery.tier.07.name
gregtech:gt.blockmachines:498, gt.blockmachines.basicmachine.brewery.tier.08.name
gregtech:gt.blockmachines:501, gt.blockmachines.basicmachine.fermenter.tier.01.name
gregtech:gt.blockmachines:502, gt.blockmachines.basicmachine.fermenter.tier.02.name
gregtech:gt.blockmachines:503, gt.blockmachines.basicmachine.fermenter.tier.03.name
gregtech:gt.blockmachines:504, gt.blockmachines.basicmachine.fermenter.tier.04.name
gregtech:gt.blockmachines:505, gt.blockmachines.basicmachine.fermenter.tier.05.name
gregtech:gt.blockmachines:506, gt.blockmachines.basicmachine.fermenter.tier.06.name
gregtech:gt.blockmachines:507, gt.blockmachines.basicmachine.fermenter.tier.07.name
gregtech:gt.blockmachines:508, gt.blockmachines.basicmachine.fermenter.tier.08.name
gregtech:gt.blockmachines:511, gt.blockmachines.basicmachine.fluidextractor.tier.01.name
gregtech:gt.blockmachines:512, gt.blockmachines.basicmachine.fluidextractor.tier.02.name
gregtech:gt.blockmachines:513, gt.blockmachines.basicmachine.fluidextractor.tier.03.name
gregtech:gt.blockmachines:514, gt.blockmachines.basicmachine.fluidextractor.tier.04.name
gregtech:gt.blockmachines:515, gt.blockmachines.basicmachine.fluidextractor.tier.05.name
gregtech:gt.blockmachines:516, gt.blockmachines.basicmachine.fluidextractor.tier.06.name
gregtech:gt.blockmachines:517, gt.blockmachines.basicmachine.fluidextractor.tier.07.name
gregtech:gt.blockmachines:518, gt.blockmachines.basicmachine.fluidextractor.tier.08.name
gregtech:gt.blockmachines:521, gt.blockmachines.basicmachine.fluidsolidifier.tier.01.name
gregtech:gt.blockmachines:522, gt.blockmachines.basicmachine.fluidsolidifier.tier.02.name
gregtech:gt.blockmachines:523, gt.blockmachines.basicmachine.fluidsolidifier.tier.03.name
gregtech:gt.blockmachines:524, gt.blockmachines.basicmachine.fluidsolidifier.tier.04.name
gregtech:gt.blockmachines:525, gt.blockmachines.basicmachine.fluidsolidifier.tier.05.name
gregtech:gt.blockmachines:526, gt.blockmachines.basicmachine.fluidsolidifier.tier.06.name
gregtech:gt.blockmachines:527, gt.blockmachines.basicmachine.fluidsolidifier.tier.07.name
gregtech:gt.blockmachines:528, gt.blockmachines.basicmachine.fluidsolidifier.tier.08.name
gregtech:gt.blockmachines:531, gt.blockmachines.basicmachine.distillery.tier.01.name
gregtech:gt.blockmachines:532, gt.blockmachines.basicmachine.distillery.tier.02.name
gregtech:gt.blockmachines:533, gt.blockmachines.basicmachine.distillery.tier.03.name
gregtech:gt.blockmachines:534, gt.blockmachines.basicmachine.distillery.tier.04.name
gregtech:gt.blockmachines:535, gt.blockmachines.basicmachine.distillery.tier.05.name
gregtech:gt.blockmachines:536, gt.blockmachines.basicmachine.distillery.tier.06.name
gregtech:gt.blockmachines:537, gt.blockmachines.basicmachine.distillery.tier.07.name
gregtech:gt.blockmachines:538, gt.blockmachines.basicmachine.distillery.tier.08.name
gregtech:gt.blockmachines:541, gt.blockmachines.basicmachine.chemicalbath.tier.01.name
gregtech:gt.blockmachines:542, gt.blockmachines.basicmachine.chemicalbath.tier.02.name
gregtech:gt.blockmachines:543, gt.blockmachines.basicmachine.chemicalbath.tier.03.name
gregtech:gt.blockmachines:544, gt.blockmachines.basicmachine.chemicalbath.tier.04.name
gregtech:gt.blockmachines:545, gt.blockmachines.basicmachine.chemicalbath.tier.05.name
gregtech:gt.blockmachines:546, gt.blockmachines.basicmachine.chemicalbath.tier.06.name
gregtech:gt.blockmachines:547, gt.blockmachines.basicmachine.chemicalbath.tier.07.name
gregtech:gt.blockmachines:548, gt.blockmachines.basicmachine.chemicalbath.tier.08.name
gregtech:gt.blockmachines:551, gt.blockmachines.basicmachine.polarizer.tier.01.name
gregtech:gt.blockmachines:552, gt.blockmachines.basicmachine.polarizer.tier.02.name
gregtech:gt.blockmachines:553, gt.blockmachines.basicmachine.polarizer.tier.03.name
gregtech:gt.blockmachines:554, gt.blockmachines.basicmachine.polarizer.tier.04.name
gregtech:gt.blockmachines:555, gt.blockmachines.basicmachine.polarizer.tier.05.name
gregtech:gt.blockmachines:556, gt.blockmachines.basicmachine.polarizer.tier.06.name
gregtech:gt.blockmachines:557, gt.blockmachines.basicmachine.polarizer.tier.07.name
gregtech:gt.blockmachines:558, gt.blockmachines.basicmachine.polarizer.tier.08.name
gregtech:gt.blockmachines:561, gt.blockmachines.basicmachine.electromagneticseparator.tier.01.name
gregtech:gt.blockmachines:562, gt.blockmachines.basicmachine.electromagneticseparator.tier.02.name
gregtech:gt.blockmachines:563, gt.blockmachines.basicmachine.electromagneticseparator.tier.03.name
gregtech:gt.blockmachines:564, gt.blockmachines.basicmachine.electromagneticseparator.tier.04.name
gregtech:gt.blockmachines:565, gt.blockmachines.basicmachine.electromagneticseparator.tier.05.name
gregtech:gt.blockmachines:566, gt.blockmachines.basicmachine.electromagneticseparator.tier.06.name
gregtech:gt.blockmachines:567, gt.blockmachines.basicmachine.electromagneticseparator.tier.07.name
gregtech:gt.blockmachines:568, gt.blockmachines.basicmachine.electromagneticseparator.tier.08.name
gregtech:gt.blockmachines:571, gt.blockmachines.basicmachine.autoclave.tier.01.name
gregtech:gt.blockmachines:572, gt.blockmachines.basicmachine.autoclave.tier.02.name
gregtech:gt.blockmachines:573, gt.blockmachines.basicmachine.autoclave.tier.03.name
gregtech:gt.blockmachines:574, gt.blockmachines.basicmachine.autoclave.tier.04.name
gregtech:gt.blockmachines:575, gt.blockmachines.basicmachine.autoclave.tier.05.name
gregtech:gt.blockmachines:576, gt.blockmachines.basicmachine.autoclave.tier.06.name
gregtech:gt.blockmachines:577, gt.blockmachines.basicmachine.autoclave.tier.07.name
gregtech:gt.blockmachines:578, gt.blockmachines.basicmachine.autoclave.tier.08.name
gregtech:gt.blockmachines:581, gt.blockmachines.basicmachine.mixer.tier.01.name
gregtech:gt.blockmachines:582, gt.blockmachines.basicmachine.mixer.tier.02.name
gregtech:gt.blockmachines:583, gt.blockmachines.basicmachine.mixer.tier.03.name
gregtech:gt.blockmachines:584, gt.blockmachines.basicmachine.mixer.tier.04.name
gregtech:gt.blockmachines:585, gt.blockmachines.basicmachine.mixer.tier.05.name
gregtech:gt.blockmachines:586, gt.blockmachines.basicmachine.mixer.tier.06.name
gregtech:gt.blockmachines:587, gt.blockmachines.basicmachine.mixer.tier.07.name
gregtech:gt.blockmachines:588, gt.blockmachines.basicmachine.mixer.tier.08.name
gregtech:gt.blockmachines:591, gt.blockmachines.basicmachine.laserengraver.tier.01.name
gregtech:gt.blockmachines:592, gt.blockmachines.basicmachine.laserengraver.tier.02.name
gregtech:gt.blockmachines:593, gt.blockmachines.basicmachine.laserengraver.tier.03.name
gregtech:gt.blockmachines:594, gt.blockmachines.basicmachine.laserengraver.tier.04.name
gregtech:gt.blockmachines:595, gt.blockmachines.basicmachine.laserengraver.tier.05.name
gregtech:gt.blockmachines:596, gt.blockmachines.basicmachine.laserengraver.tier.06.name
gregtech:gt.blockmachines:597, gt.blockmachines.basicmachine.laserengraver.tier.07.name
gregtech:gt.blockmachines:598, gt.blockmachines.basicmachine.laserengraver.tier.08.name
gregtech:gt.blockmachines:601, gt.blockmachines.basicmachine.press.tier.01.name
gregtech:gt.blockmachines:602, gt.blockmachines.basicmachine.press.tier.02.name
gregtech:gt.blockmachines:603, gt.blockmachines.basicmachine.press.tier.03.name
gregtech:gt.blockmachines:604, gt.blockmachines.basicmachine.press.tier.04.name
gregtech:gt.blockmachines:605, gt.blockmachines.basicmachine.press.tier.05.name
gregtech:gt.blockmachines:606, gt.blockmachines.basicmachine.press.tier.06.name
gregtech:gt.blockmachines:607, gt.blockmachines.basicmachine.press.tier.07.name
gregtech:gt.blockmachines:608, gt.blockmachines.basicmachine.press.tier.08.name
gregtech:gt.blockmachines:611, gt.blockmachines.basicmachine.hammer.tier.01.name
gregtech:gt.blockmachines:612, gt.blockmachines.basicmachine.hammer.tier.02.name
gregtech:gt.blockmachines:613, gt.blockmachines.basicmachine.hammer.tier.03.name
gregtech:gt.blockmachines:614, gt.blockmachines.basicmachine.hammer.tier.04.name
gregtech:gt.blockmachines:615, gt.blockmachines.basicmachine.hammer.tier.05.name
gregtech:gt.blockmachines:616, gt.blockmachines.basicmachine.hammer.tier.06.name
gregtech:gt.blockmachines:617, gt.blockmachines.basicmachine.hammer.tier.07.name
gregtech:gt.blockmachines:618, gt.blockmachines.basicmachine.hammer.tier.08.name
gregtech:gt.blockmachines:621, gt.blockmachines.basicmachine.fluidheater.tier.01.name
gregtech:gt.blockmachines:622, gt.blockmachines.basicmachine.fluidheater.tier.02.name
gregtech:gt.blockmachines:623, gt.blockmachines.basicmachine.fluidheater.tier.03.name
gregtech:gt.blockmachines:624, gt.blockmachines.basicmachine.fluidheater.tier.04.name
gregtech:gt.blockmachines:625, gt.blockmachines.basicmachine.fluidheater.tier.05.name
gregtech:gt.blockmachines:626, gt.blockmachines.basicmachine.fluidheater.tier.06.name
gregtech:gt.blockmachines:627, gt.blockmachines.basicmachine.fluidheater.tier.07.name
gregtech:gt.blockmachines:628, gt.blockmachines.basicmachine.fluidheater.tier.08.name
gregtech:gt.blockmachines:631, gt.blockmachines.basicmachine.slicer.tier.01.name
gregtech:gt.blockmachines:632, gt.blockmachines.basicmachine.slicer.tier.02.name
gregtech:gt.blockmachines:633, gt.blockmachines.basicmachine.slicer.tier.03.name
gregtech:gt.blockmachines:634, gt.blockmachines.basicmachine.slicer.tier.04.name
gregtech:gt.blockmachines:635, gt.blockmachines.basicmachine.slicer.tier.05.name
gregtech:gt.blockmachines:636, gt.blockmachines.basicmachine.slicer.tier.06.name
gregtech:gt.blockmachines:637, gt.blockmachines.basicmachine.slicer.tier.07.name
gregtech:gt.blockmachines:638, gt.blockmachines.basicmachine.slicer.tier.08.name
gregtech:gt.blockmachines:641, gt.blockmachines.basicmachine.sifter.tier.01.name
gregtech:gt.blockmachines:642, gt.blockmachines.basicmachine.sifter.tier.02.name
gregtech:gt.blockmachines:643, gt.blockmachines.basicmachine.sifter.tier.03.name
gregtech:gt.blockmachines:644, gt.blockmachines.basicmachine.sifter.tier.04.name
gregtech:gt.blockmachines:645, gt.blockmachines.basicmachine.sifter.tier.05.name
gregtech:gt.blockmachines:646, gt.blockmachines.basicmachine.sifter.tier.06.name
gregtech:gt.blockmachines:647, gt.blockmachines.basicmachine.sifter.tier.07.name
gregtech:gt.blockmachines:648, gt.blockmachines.basicmachine.sifter.tier.08.name
gregtech:gt.blockmachines:651, gt.blockmachines.basicmachine.arcfurnace.tier.01.name
gregtech:gt.blockmachines:652, gt.blockmachines.basicmachine.arcfurnace.tier.02.name
gregtech:gt.blockmachines:653, gt.blockmachines.basicmachine.arcfurnace.tier.03.name
gregtech:gt.blockmachines:654, gt.blockmachines.basicmachine.arcfurnace.tier.04.name
gregtech:gt.blockmachines:655, gt.blockmachines.basicmachine.arcfurnace.tier.05.name
gregtech:gt.blockmachines:656, gt.blockmachines.basicmachine.arcfurnace.tier.06.name
gregtech:gt.blockmachines:657, gt.blockmachines.basicmachine.arcfurnace.tier.07.name
gregtech:gt.blockmachines:658, gt.blockmachines.basicmachine.arcfurnace.tier.08.name
gregtech:gt.blockmachines:661, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.01.name
gregtech:gt.blockmachines:662, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.02.name
gregtech:gt.blockmachines:663, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.03.name
gregtech:gt.blockmachines:664, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.04.name
gregtech:gt.blockmachines:665, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.05.name
gregtech:gt.blockmachines:666, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.06.name
gregtech:gt.blockmachines:667, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.07.name
gregtech:gt.blockmachines:668, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.08.name
gregtech:gt.blockmachines:671, gt.blockmachines.basicmachine.e_oven.tier.01.name
gregtech:gt.blockmachines:672, gt.blockmachines.basicmachine.e_oven.tier.02.name
gregtech:gt.blockmachines:673, gt.blockmachines.basicmachine.e_oven.tier.03.name
gregtech:gt.blockmachines:674, gt.blockmachines.basicmachine.e_oven.tier.04.name
gregtech:gt.blockmachines:675, gt.blockmachines.basicmachine.e_oven.tier.05.name
gregtech:gt.blockmachines:676, gt.blockmachines.basicmachine.e_oven.tier.06.name
gregtech:gt.blockmachines:677, gt.blockmachines.basicmachine.e_oven.tier.07.name
gregtech:gt.blockmachines:678, gt.blockmachines.basicmachine.e_oven.tier.08.name
gregtech:gt.blockmachines:679, gt.blockmachines.basicmachine.miner.tier.01.name
